target,model,fold,row_index,round_number,timestamp,actual_multiplier,actual,probability,predicted,baseline_probability,majority_prediction,warning
2.00,majority,1,4086,4187,2026-08-08 14:22:32,14.94,1,0.999999,1,0.5012236906510035,1,
2.00,majority,1,4087,4188,2026-08-08 14:23:06,8.82,1,0.999999,1,0.5012236906510035,1,
2.00,majority,1,4088,4189,2026-08-08 14:23:18,1.4,0,0.999999,1,0.5012236906510035,1,
2.00,majority,1,4089,4190,2026-08-08 14:23:41,3.51,1,0.999999,1,0.5012236906510035,1,
2.00,majority,1,4090,4191,2026-08-08 14:23:51,1.17,0,0.999999,1,0.5012236906510035,1,
2.00,majority,1,4091,4192,2026-08-08 14:24:04,1.52,0,0.999999,1,0.5012236906510035,1,
2.00,majority,1,4092,4193,2026-08-08 14:24:43,12.81,1,0.999999,1,0.5012236906510035,1,
2.00,majority,1,4093,4194,2026-08-08 14:25:01,2.33,1,0.999999,1,0.5012236906510035,1,
2.00,majority,1,4094,4195,2026-08-08 14:25:19,2.3,1,0.999999,1,0.5012236906510035,1,
2.00,majority,1,4095,4196,2026-08-08 14:25:39,2.76,1,0.999999,1,0.5012236906510035,1,
2.00,majority,1,4096,4197,2026-08-08 14:26:02,3.36,1,0.999999,1,0.5012236906510035,1,
2.00,majority,1,4097,4198,2026-08-08 14:26:29,5.16,1,0.999999,1,0.5012236906510035,1,
2.00,majority,1,4098,4199,2026-08-08 14:26:51,2.92,1,0.999999,1,0.5012236906510035,1,
2.00,majority,1,4099,4200,2026-08-08 14:27:03,1.43,0,0.999999,1,0.5012236906510035,1,
2.00,majority,1,4100,4201,2026-08-08 14:27:11,1.0,0,0.999999,1,0.5012236906510035,1,
2.00,majority,1,4101,4202,2026-08-08 14:27:21,1.18,0,0.999999,1,0.5012236906510035,1,
2.00,majority,1,4102,4203,2026-08-08 14:27:43,3.2,1,0.999999,1,0.5012236906510035,1,
2.00,majority,1,4103,4204,2026-08-08 14:28:10,4.9,1,0.999999,1,0.5012236906510035,1,
2.00,majority,1,4104,4205,2026-08-08 14:28:24,1.63,0,0.999999,1,0.5012236906510035,1,
2.00,majority,1,4105,4206,2026-08-08 14:28:33,1.11,0,0.999999,1,0.5012236906510035,1,
2.00,majority,1,4106,4207,2026-08-08 14:28:50,2.01,1,0.999999,1,0.5012236906510035,1,
2.00,majority,1,4107,4208,2026-08-08 14:29:21,7.35,1,0.999999,1,0.5012236906510035,1,
2.00,majority,1,4108,4209,2026-08-08 14:30:56,1345.36,1,0.999999,1,0.5012236906510035,1,
