checked_at,predicted_at,predicted_after_round_count,actual_round_count,actual_timestamp,model_version,candidate_model,predicted_label,minimum,maximum,probability,confidence,source,range_type,clear_signal,clear_reason,scored,actual_multiplier,correct
2026-08-08 22:18:40,2026-08-08 22:18:36,5479,5480,2026-08-08 22:18:40,adaptive-v7-actionable-range,baseline,1.00x TO 2.00x,1.00,2.00,0.496076,low,baseline,adaptive,0,wider range probability too low,1,1.19,1
2026-08-08 22:18:40,2026-08-08 22:18:36,5479,5480,2026-08-08 22:18:40,adaptive-v7-actionable-range,recent,1.20x TO 3.00x,1.20,3.00,0.508144,low,recent,adaptive,0,range has not beaten baseline,1,1.19,0
2026-08-08 22:18:40,2026-08-08 22:18:36,5479,5480,2026-08-08 22:18:40,adaptive-v7-actionable-range,pattern,1.50x TO 5.00x,1.50,5.00,0.497074,low,pattern,adaptive,0,range has not beaten baseline,0,1.19,
2026-08-08 22:18:40,2026-08-08 22:18:36,5479,5480,2026-08-08 22:18:40,adaptive-v7-actionable-range,ensemble,1.50x TO 5.00x,1.50,5.00,0.474435,low,pattern,adaptive,0,range has not beaten baseline,0,1.19,
2026-08-08 22:18:48,2026-08-08 22:18:41,5480,5481,2026-08-08 22:18:48,adaptive-v7-actionable-range,baseline,1.00x TO 2.00x,1.00,2.00,0.496168,low,baseline,adaptive,0,wider range probability too low,1,1.00,1
2026-08-08 22:18:48,2026-08-08 22:18:41,5480,5481,2026-08-08 22:18:48,adaptive-v7-actionable-range,recent,1.20x TO 3.00x,1.20,3.00,0.497263,low,recent,adaptive,0,range has not beaten baseline,1,1.00,0
2026-08-08 22:18:48,2026-08-08 22:18:41,5480,5481,2026-08-08 22:18:48,adaptive-v7-actionable-range,pattern,1.20x TO 3.00x,1.20,3.00,0.496710,low,pattern,adaptive,0,range has not beaten baseline,1,1.00,0
2026-08-08 22:18:48,2026-08-08 22:18:41,5480,5481,2026-08-08 22:18:48,adaptive-v7-actionable-range,ensemble,1.20x TO 3.00x,1.20,3.00,0.490710,low,pattern,adaptive,0,range has not beaten baseline,1,1.00,0
2026-08-08 22:19:09,2026-08-08 22:18:49,5481,5482,2026-08-08 22:19:09,adaptive-v7-actionable-range,baseline,1.00x TO 2.00x,1.00,2.00,0.496260,low,baseline,adaptive,0,wider range probability too low,1,2.95,0
2026-08-08 22:19:09,2026-08-08 22:18:49,5481,5482,2026-08-08 22:19:09,adaptive-v7-actionable-range,recent,1.20x TO 3.00x,1.20,3.00,0.497251,low,recent,adaptive,0,range has not beaten baseline,1,2.95,1
2026-08-08 22:19:09,2026-08-08 22:18:49,5481,5482,2026-08-08 22:19:09,adaptive-v7-actionable-range,pattern,1.20x TO 3.00x,1.20,3.00,0.494272,low,pattern,adaptive,0,range has not beaten baseline,1,2.95,1
2026-08-08 22:19:09,2026-08-08 22:18:49,5481,5482,2026-08-08 22:19:09,adaptive-v7-actionable-range,ensemble,1.20x TO 3.00x,1.20,3.00,0.489944,low,pattern,adaptive,0,range has not beaten baseline,1,2.95,1
2026-08-08 22:19:26,2026-08-08 22:19:10,5482,5483,2026-08-08 22:19:26,adaptive-v7-actionable-range,baseline,1.00x TO 2.00x,1.00,2.00,0.496169,low,baseline,adaptive,0,wider range probability too low,1,2.13,0
2026-08-08 22:19:26,2026-08-08 22:19:10,5482,5483,2026-08-08 22:19:26,adaptive-v7-actionable-range,recent,1.20x TO 3.00x,1.20,3.00,0.497264,low,recent,adaptive,0,range has not beaten baseline,1,2.13,1
2026-08-08 22:19:26,2026-08-08 22:19:10,5482,5483,2026-08-08 22:19:26,adaptive-v7-actionable-range,pattern,1.00x TO 2.00x,1.00,2.00,0.497002,low,pattern,adaptive,0,wider range probability too low,1,2.13,0
